subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	
cat_between_MRI_998	 1	 2	 01	 1	 59	 2.961624e+02	 Mentos.bmp	 KinderBuenoWhite2.bmp	 54	 53	 1	 x	 2	 999	 999000.00	 4.73	 4.76	 
cat_between_MRI_998	 1	 2	 01	 1	 60	 3.031536e+02	 Bounty.bmp	 Popco.bmp	 15	 8	 0	 x	 1	 999	 999000.00	 5.62	 6.12	 
cat_between_MRI_998	 1	 2	 01	 1	 61	 3.071581e+02	 ChocolateParaCookies5.bmp	 Mentos.bmp	 45	 54	 0	 x	 2	 999	 999000.00	 4.96	 4.73	 
cat_between_MRI_998	 1	 2	 01	 1	 62	 3.101614e+02	 ChocolateParaMilk3.bmp	 Bounty.bmp	 14	 15	 1	 x	 1	 999	 999000.00	 5.67	 5.62	 
cat_between_MRI_998	 1	 2	 01	 1	 63	 3.131648e+02	 ClickXLwhite4.bmp	 DoritosNatural.bmp	 43	 52	 1	 x	 2	 999	 999000.00	 5.03	 4.79	 
cat_between_MRI_998	 1	 2	 01	 1	 64	 3.161515e+02	 WerthersOriginal.bmp	 ChocolateParaMilk3.bmp	 10	 14	 0	 x	 1	 999	 999000.00	 5.85	 5.67	 
cat_between_MRI_998	 1	 2	 01	 1	 65	 3.221582e+02	 KifkefMaklot2.bmp	 Halva2.bmp	 12	 16	 0	 x	 1	 999	 999000.00	 5.77	 5.58	 
cat_between_MRI_998	 1	 2	 01	 1	 66	 3.341551e+02	 BambaNugat.bmp	 Mentos.bmp	 47	 54	 0	 x	 2	 999	 999000.00	 4.85	 4.73	 
cat_between_MRI_998	 1	 2	 01	 1	 67	 3.371584e+02	 BisliGrill.bmp	 Smarties.bmp	 48	 50	 1	 x	 2	 999	 999000.00	 4.85	 4.81	 
cat_between_MRI_998	 1	 2	 01	 1	 68	 3.401618e+02	 Popco.bmp	 WerthersOriginal.bmp	 8	 10	 1	 x	 1	 999	 999000.00	 6.12	 5.85	 
cat_between_MRI_998	 1	 2	 01	 1	 69	 3.451507e+02	 Smarties.bmp	 Mentos.bmp	 50	 54	 0	 x	 2	 999	 999000.00	 4.81	 4.73	 
cat_between_MRI_998	 1	 2	 01	 1	 70	 3.501564e+02	 Twix.bmp	 Tictac.bmp	 7	 17	 0	 b	 1	 0	 271.88	 6.13	 5.57	 
cat_between_MRI_998	 1	 2	 01	 1	 71	 3.571642e+02	 DoritosNatural.bmp	 PesekZman.bmp	 52	 49	 0	 y	 2	 1	 280.04	 4.79	 4.83	 
cat_between_MRI_998	 1	 2	 01	 1	 72	 3.601507e+02	 BisliGrill.bmp	 KinderBuenoBrown3.bmp	 48	 44	 1	 x	 2	 999	 999000.00	 4.85	 5.01	 
